Date_Time,Temperature_C,Precipitation_mm,Wind_Speed_kmh,Pressure_hPa
2024-05-01,23.0,0.0,16.1,1014.7
2024-05-02,19.4,1.3,12.7,1007.3
2024-05-03,17.6,13.7,10.0,1004.3
2024-05-04,18.3,1.3,22.4,1006.6
2024-05-05,20.6,0.0,20.8,1010.7
2024-05-06,18.1,1.0,11.2,1013.1
2024-05-07,17.8,8.6,12.5,1012.4
2024-05-08,18.7,0.5,15.1,1013.3
2024-05-09,17.5,0.0,22.0,1013.9
2024-05-10,19.1,0.0,9.8,1017.5
2024-05-11,22.8,0.0,8.3,1018.1
2024-05-12,25.3,0.5,11.7,1012.6
2024-05-13,22.6,5.1,12.5,1008.8
2024-05-14,22.9,0.0,10.4,1008.2
2024-05-15,24.0,0.0,12.9,1011.9
2024-05-16,24.2,0.0,18.7,1013.8
2024-05-17,22.1,0.0,18.0,1012.4
2024-05-18,20.2,0.0,27.1,1011.0
2024-05-19,20.2,0.0,14.5,1012.9
2024-05-20,23.1,0.0,15.5,1012.3
2024-05-21,22.2,0.5,15.9,1013.2
2024-05-22,20.6,2.3,14.6,1013.2
2024-05-23,21.6,0.0,20.4,1010.9
2024-05-24,23.1,0.0,15.5,1011.2
2024-05-25,24.6,1.8,15.5,1013.2
2024-05-26,25.8,2.0,17.4,1013.6
2024-05-27,27.6,0.0,11.0,1012.0
2024-05-28,27.9,0.0,13.9,1012.3
2024-05-29,28.5,0.0,12.0,1012.2
2024-05-30,29.8,0.0,10.0,1011.6
2024-05-31,31.0,0.0,8.0,1014.6
2024-06-01,32.3,0.0,9.9,1011.5
2024-06-02,26.1,0.0,30.4,1009.6
2024-06-03,24.9,0.0,17.4,1013.5
2024-06-04,26.3,0.0,10.6,1013.9
2024-06-05,26.8,0.0,12.9,1013.1
2024-06-06,27.6,0.0,10.1,1014.3
2024-06-07,29.1,0.0,10.3,1012.5
2024-06-08,30.2,0.0,8.2,1010.5
2024-06-09,31.5,0.0,11.2,1010.2
2024-06-10,30.4,0.0,18.1,1010.9
2024-06-11,30.7,0.0,17.6,1010.1
2024-06-12,31.3,0.0,9.0,1008.6
2024-06-13,29.6,0.0,17.2,1008.3
2024-06-14,27.6,0.0,17.3,1009.1
2024-06-15,27.6,0.0,12.4,1008.7
2024-06-16,29.8,0.0,14.6,1009.4
2024-06-17,30.6,0.0,15.0,1011.5
2024-06-18,30.8,0.0,11.0,1013.1
2024-06-19,29.9,0.0,10.0,1012.8
2024-06-20,29.1,0.0,11.6,1011.6
2024-06-21,29.9,0.0,17.0,1008.5
2024-06-22,30.2,0.0,12.0,1006.6
2024-06-23,29.2,0.0,11.5,1009.1
2024-06-24,29.1,0.0,15.5,1009.7
2024-06-25,30.6,0.3,15.9,1003.3
2024-06-26,29.6,0.0,17.0,1002.8
2024-06-27,28.9,0.0,16.7,1004.1
2024-06-28,30.4,0.0,12.7,1004.2
2024-06-29,29.7,0.0,14.4,1002.5
2024-06-30,28.8,0.0,14.5,1005.8
2024-07-01,29.9,0.0,14.8,1005.4
2024-07-02,30.9,0.0,12.1,1001.1
2024-07-03,30.2,0.3,13.9,1000.7
2024-07-04,32.2,0.0,10.8,1003.9
2024-07-05,33.9,0.0,10.5,1004.8
2024-07-06,33.6,0.0,12.2,1005.4
2024-07-07,32.9,0.0,18.8,1005.8
2024-07-08,32.6,0.0,16.7,1006.7
2024-07-09,33.3,0.0,11.5,1007.3
2024-07-10,34.1,0.0,11.9,1008.7
2024-07-11,33.3,0.0,11.2,1008.5
2024-07-12,32.5,0.0,16.3,1006.6
2024-07-13,31.7,0.0,9.7,1006.3
2024-07-14,30.4,0.0,10.6,1005.8
2024-07-15,30.0,0.0,10.5,1006.9
2024-07-16,31.8,0.0,9.7,1007.2
2024-07-17,32.3,0.0,9.2,1007.6
2024-07-18,32.4,0.0,10.6,1006.2
2024-07-19,31.7,0.0,14.9,1003.9
2024-07-20,33.4,0.0,12.6,1004.4
2024-07-21,33.0,0.0,10.9,1002.9
2024-07-22,31.7,0.0,12.9,1004.3
2024-07-23,33.3,0.0,9.4,1003.6
2024-07-24,34.8,0.0,9.8,1000.8
2024-07-25,34.1,0.0,11.7,998.1
2024-07-26,33.5,0.0,13.2,1000.2
2024-07-27,34.7,0.0,11.4,1001.4
2024-07-28,31.5,0.0,16.1,1003.3
2024-07-29,27.5,0.0,20.5,1003.7
2024-07-30,30.5,0.0,12.7,1005.9
2024-07-31,34.4,0.0,9.9,1003.4
2024-08-01,31.7,0.0,15.3,1004.6
2024-08-02,31.4,0.0,13.3,1003.5
2024-08-03,31.4,0.0,13.5,1002.0
2024-08-04,32.0,0.0,11.4,1003.6
2024-08-05,34.1,0.0,11.1,1004.0
2024-08-06,36.5,0.0,13.1,1003.3
2024-08-07,37.9,0.0,13.8,1002.8
2024-08-08,34.7,0.0,13.7,1003.8
2024-08-09,32.4,0.0,12.2,1007.3
2024-08-10,34.4,0.0,12.1,1006.9
2024-08-11,35.8,0.0,10.8,1004.4
2024-08-12,32.8,0.0,11.5,1008.8
2024-08-13,32.0,0.0,14.8,1005.5
2024-08-14,31.7,0.0,15.4,1006.5
2024-08-15,31.2,0.0,15.5,1007.5
2024-08-16,30.8,0.0,10.2,1005.8
2024-08-17,28.4,0.0,15.0,1007.4
2024-08-18,30.4,0.0,10.9,1010.9
2024-08-19,31.4,0.0,10.4,1009.9
2024-08-20,32.2,0.0,11.4,1009.7
2024-08-21,29.7,0.0,8.1,1011.1
2024-08-22,31.7,0.0,10.9,1010.2
2024-08-23,33.4,0.0,9.6,1008.3
2024-08-24,33.1,0.0,10.6,1010.5
2024-08-25,32.5,0.0,10.9,1008.8
2024-08-26,32.9,0.0,10.6,1006.3
2024-08-27,33.3,0.0,12.4,1005.9
2024-08-28,30.6,0.0,12.1,1007.7
2024-08-29,28.9,0.0,11.9,1008.8
2024-08-30,27.9,0.0,11.5,1008.6
2024-08-31,28.5,0.0,9.2,1008.6
2024-09-01,28.9,0.0,8.0,1009.6
2024-09-02,28.9,0.0,9.2,1011.4
2024-09-03,29.2,0.0,9.6,1010.7
2024-09-04,29.7,0.0,8.8,1011.3
2024-09-05,30.8,0.0,10.5,1007.9
2024-09-06,27.4,0.0,12.8,1009.3
2024-09-07,26.6,0.0,11.4,1013.9
2024-09-08,27.3,0.0,8.3,1015.4
2024-09-09,28.6,0.0,7.7,1015.5
2024-09-10,29.2,0.0,9.6,1014.0
2024-09-11,29.6,0.0,9.3,1012.5
2024-09-12,30.4,0.0,8.9,1011.5
2024-09-13,27.6,0.0,7.8,1009.1
2024-09-14,25.9,4.1,14.1,1007.9
2024-09-15,23.9,0.5,10.9,1010.3
2024-09-16,24.6,0.0,10.2,1011.5
2024-09-17,25.5,0.0,8.6,1012.4
2024-09-18,24.5,0.0,14.1,1011.9
2024-09-19,24.3,0.0,11.5,1013.3
2024-09-20,25.2,0.0,8.4,1012.6
2024-09-21,25.9,0.0,13.0,1011.7
2024-09-22,27.3,0.0,8.8,1013.4
2024-09-23,29.2,0.0,10.0,1013.7
2024-09-24,30.9,0.0,8.4,1012.1
2024-09-25,26.8,0.0,21.2,1010.7
2024-09-26,23.7,0.0,13.5,1013.5
2024-09-27,23.0,0.3,12.4,1015.4
2024-09-28,15.4,16.5,10.6,1017.1
