time,temperature_2m_mean (°C),daylight_duration (s),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),pressure_msl_mean (hPa),surface_pressure_mean (hPa),temperature_2m_max (°C),temperature_2m_min (°C),cloud_cover_mean (%),wind_speed_10m_max (km/h),precipitation_sum (mm),sunshine_duration (s),wind_direction_10m_dominant (°),longitude,latitude,elevation
2023-01-01,17.9,37640.81,0.0,0.0,43,1022.7,1021.6,23.1,11.4,20,16.4,0.0,33456.62,46,56.28763,27.240772,9.0
2023-01-02,18.8,37666.55,0.0,0.0,29,1024.5,1023.4,24.0,14.1,62,24.4,0.0,33209.32,54,56.28763,27.240772,9.0
2023-01-03,19.3,37694.59,0.0,0.0,21,1025.2,1024.2,24.3,15.9,73,24.7,0.0,25453.0,52,56.28763,27.240772,9.0
2023-01-04,19.7,37724.89,0.0,0.0,15,1022.4,1021.3,24.7,14.4,71,25.3,0.0,29606.1,49,56.28763,27.240772,9.0
2023-01-05,20.2,37757.38,0.7,0.0,52,1020.6,1019.5,23.4,17.1,96,15.8,0.7,19223.08,52,56.28763,27.240772,9.0
2023-01-06,18.0,37791.98,13.9,0.0,84,1020.8,1019.8,21.4,15.8,99,16.7,13.9,13770.16,335,56.28763,27.240772,9.0
2023-01-07,16.0,37828.65,18.1,0.0,90,1020.2,1019.1,17.9,12.5,73,10.8,18.1,1348.43,5,56.28763,27.240772,9.0
2023-01-08,15.7,37867.31,0.0,0.0,86,1019.4,1018.3,19.2,12.6,41,12.6,0.0,31613.7,8,56.28763,27.240772,9.0
2023-01-09,16.3,37907.91,0.0,0.0,78,1020.2,1019.2,20.1,13.1,22,13.7,0.0,32840.53,28,56.28763,27.240772,9.0
2023-01-10,17.9,37950.37,9.6,0.0,80,1017.0,1015.9,20.2,15.2,84,17.8,9.6,13453.35,1,56.28763,27.240772,9.0
2023-01-11,15.5,37994.64,0.0,0.0,63,1020.0,1018.9,19.9,10.6,5,31.7,0.0,33077.11,56,56.28763,27.240772,9.0
2023-01-12,12.0,38040.66,0.0,0.0,50,1023.4,1022.3,16.5,7.9,1,30.0,0.0,33439.29,58,56.28763,27.240772,9.0
2023-01-13,11.6,38088.35,0.0,0.0,51,1024.1,1023.0,16.8,7.9,6,27.7,0.0,33432.14,54,56.28763,27.240772,9.0
2023-01-14,12.8,38137.66,0.0,0.0,49,1022.8,1021.7,18.5,7.8,15,24.1,0.0,33431.35,52,56.28763,27.240772,9.0
2023-01-15,14.8,38188.52,0.0,0.0,47,1020.2,1019.1,21.1,9.9,20,15.1,0.0,31238.74,44,56.28763,27.240772,9.0
2023-01-16,16.9,38240.88,0.0,0.0,53,1017.7,1016.6,21.7,10.6,17,13.0,0.0,33256.01,38,56.28763,27.240772,9.0
2023-01-17,17.7,38294.66,8.5,0.0,64,1015.5,1014.4,22.6,13.7,78,19.2,8.5,21708.29,35,56.28763,27.240772,9.0
2023-01-18,18.0,38349.93,7.6,0.0,77,1015.1,1014.0,22.0,14.1,30,22.7,7.6,33069.86,49,56.28763,27.240772,9.0
2023-01-19,16.6,38407.28,0.0,0.0,58,1019.1,1018.0,21.2,13.3,4,18.7,0.0,33450.75,51,56.28763,27.240772,9.0
2023-01-20,16.0,38466.74,0.0,0.0,51,1021.1,1020.1,20.9,12.3,0,22.7,0.0,33664.8,47,56.28763,27.240772,9.0
2023-01-21,16.0,38528.2,0.0,0.0,45,1021.3,1020.2,20.8,12.7,0,24.9,0.0,33661.6,48,56.28763,27.240772,9.0
2023-01-22,15.8,38591.54,0.0,0.0,39,1020.8,1019.7,21.1,11.5,8,24.6,0.0,33761.1,51,56.28763,27.240772,9.0
2023-01-23,15.8,38656.69,0.0,0.0,31,1021.3,1020.2,20.8,12.2,23,28.9,0.0,33758.91,54,56.28763,27.240772,9.0
2023-01-24,15.5,38723.51,0.0,0.0,27,1021.1,1020.1,20.3,11.9,28,28.3,0.0,33863.86,56,56.28763,27.240772,9.0
2023-01-25,15.9,38791.93,0.0,0.0,25,1020.7,1019.6,20.4,12.3,48,31.2,0.0,33394.06,54,56.28763,27.240772,9.0
2023-01-26,15.8,38861.83,10.9,0.0,37,1020.6,1019.5,20.2,12.1,88,26.7,10.9,16767.3,46,56.28763,27.240772,9.0
2023-01-27,12.8,38933.12,18.8,0.0,78,1020.0,1018.9,14.1,10.3,95,21.0,18.8,0.0,51,56.28763,27.240772,9.0
2023-01-28,13.8,39005.71,0.0,0.0,78,1017.7,1016.6,18.0,9.7,6,16.1,0.0,33842.94,19,56.28763,27.240772,9.0
2023-01-29,14.2,39079.5,0.0,0.0,67,1016.6,1015.5,18.5,10.1,0,14.0,0.0,34212.33,14,56.28763,27.240772,9.0
2023-01-30,15.2,39154.39,0.0,0.0,72,1018.3,1017.2,19.6,11.0,0,12.3,0.0,34211.53,24,56.28763,27.240772,9.0
2023-01-31,17.0,39230.3,1.6,0.0,76,1018.4,1017.4,21.0,11.6,15,18.8,1.6,34202.36,41,56.28763,27.240772,9.0
2023-02-01,18.2,39307.13,4.3,0.0,86,1017.7,1016.7,21.4,16.0,50,16.6,4.3,27766.95,46,56.28763,27.240772,9.0
