Date_Time,Temperature_C,Precipitation_mm,Wind_Speed_kmh,Pressure_hPa,daylight_duration (s),rain_sum (mm),snowfall_sum (cm),relative_humidity_2m_mean (%),Pressure_hPa,surface_pressure_mean (hPa),temperature_2m_max (°C),temperature_2m_min (°C),cloud_cover_mean (%),sunshine_duration (s),wind_direction_10m_dominant (°),longitude,latitude,elevation
1/1/2023,17.9,0,16.4,1022.7,37640.81,0,0,43,1022.7,1021.6,23.1,11.4,20,33456.62,46,56.28763,27.240772,9
1/2/2023,18.8,0,24.4,1024.5,37666.55,0,0,29,1024.5,1023.4,24,14.1,62,33209.32,54,56.28763,27.240772,9
1/3/2023,19.3,0,24.7,1025.2,37694.59,0,0,21,1025.2,1024.2,24.3,15.9,73,25453,52,56.28763,27.240772,9
1/4/2023,19.7,0,25.3,1022.4,37724.89,0,0,15,1022.4,1021.3,24.7,14.4,71,29606.1,49,56.28763,27.240772,9
1/5/2023,20.2,0.7,15.8,1020.6,37757.38,0.7,0,52,1020.6,1019.5,23.4,17.1,96,19223.08,52,56.28763,27.240772,9
1/6/2023,18,13.9,16.7,1020.8,37791.98,13.9,0,84,1020.8,1019.8,21.4,15.8,99,13770.16,335,56.28763,27.240772,9
1/7/2023,16,18.1,10.8,1020.2,37828.65,18.1,0,90,1020.2,1019.1,17.9,12.5,73,1348.43,5,56.28763,27.240772,9
1/8/2023,15.7,0,12.6,1019.4,37867.31,0,0,86,1019.4,1018.3,19.2,12.6,41,31613.7,8,56.28763,27.240772,9
1/9/2023,16.3,0,13.7,1020.2,37907.91,0,0,78,1020.2,1019.2,20.1,13.1,22,32840.53,28,56.28763,27.240772,9
1/10/2023,17.9,9.6,17.8,1017,37950.37,9.6,0,80,1017,1015.9,20.2,15.2,84,13453.35,1,56.28763,27.240772,9
1/11/2023,15.5,0,31.7,1020,37994.64,0,0,63,1020,1018.9,19.9,10.6,5,33077.11,56,56.28763,27.240772,9
1/12/2023,12,0,30,1023.4,38040.66,0,0,50,1023.4,1022.3,16.5,7.9,1,33439.29,58,56.28763,27.240772,9
1/13/2023,11.6,0,27.7,1024.1,38088.35,0,0,51,1024.1,1023,16.8,7.9,6,33432.14,54,56.28763,27.240772,9
1/14/2023,12.8,0,24.1,1022.8,38137.66,0,0,49,1022.8,1021.7,18.5,7.8,15,33431.35,52,56.28763,27.240772,9
