time,temperature_2m_mean (°C),daylight_duration (s),snowfall_sum (cm),relative_humidity_2m_mean (%),pressure_msl_mean (hPa),temperature_2m_max (°C),temperature_2m_min (°C),cloud_cover_mean (%),wind_speed_10m_max (km/h),precipitation_sum (mm),sunshine_duration (s),longitude,latitude,elevation,temp_range,sunshine_ratio,target_temp_next_day,month,day_of_week,day_of_year_sin,day_of_year_cos,wind_dir_sin,wind_dir_cos
2023-01-01,17.9,37640.81,0.0,43,1022.7,23.1,11.4,20,16.4,0.0,33456.62,56.28763,27.240772,9.0,11.700000000000001,0.8888390021362453,18.8,1,6,0.017213356155834685,0.9998518392091162,0.7193398003386512,0.6946583704589973
2023-01-02,18.8,37666.55,0.0,29,1024.5,24.0,14.1,62,24.4,0.0,33209.32,56.28763,27.240772,9.0,9.9,0.8816660936560422,19.3,1,0,0.03442161162274574,0.9994074007397048,0.8090169943749475,0.5877852522924731
2023-01-03,19.3,37694.59,0.0,21,1025.2,24.3,15.9,73,24.7,0.0,25453.0,56.28763,27.240772,9.0,8.4,0.675242786829622,19.7,1,1,0.051619667223253764,0.998666816288476,0.788010753606722,0.6156614753256583
2023-01-04,19.7,37724.89,0.0,15,1022.4,24.7,14.4,71,25.3,0.0,29606.1,56.28763,27.240772,9.0,10.299999999999999,0.7847895646614211,20.2,1,2,0.06880242680231986,0.9976303053065857,0.754709580222772,0.6560590289905073
2023-01-05,20.2,37757.38,0.0,52,1020.6,23.4,17.1,96,15.8,0.7,19223.08,56.28763,27.240772,9.0,6.299999999999997,0.5091211307564244,18.0,1,3,0.08596479873744647,0.9962981749346078,0.788010753606722,0.6156614753256583
2023-01-06,18.0,37791.98,0.0,84,1020.8,21.4,15.8,99,16.7,13.9,13770.16,56.28763,27.240772,9.0,5.599999999999998,0.364367254639741,16.0,1,4,0.10310169744743485,0.9946708199115211,-0.4226182617406992,0.90630778703665
2023-01-07,16.0,37828.65,0.0,90,1020.2,17.9,12.5,73,10.8,18.1,1348.43,56.28763,27.240772,9.0,5.399999999999999,0.03564573411950995,15.7,1,5,0.1202080448993527,0.9927487224577402,0.08715574274765817,0.9961946980917455
2023-01-08,15.7,37867.31,0.0,86,1019.4,19.2,12.6,41,12.6,0.0,31613.7,56.28763,27.240772,9.0,6.6,0.8348546543179328,16.3,1,6,0.13727877211326478,0.9905324521322229,0.13917310096006544,0.9902680687415704
2023-01-09,16.3,37907.91,0.0,78,1020.2,20.1,13.1,22,13.7,0.0,32840.53,56.28763,27.240772,9.0,7.000000000000002,0.8663239413621061,17.9,1,0,0.15430882066428117,0.9880226656636976,0.4694715627858908,0.882947592858927
2023-01-10,17.9,37950.37,0.0,80,1017.0,20.2,15.2,84,17.8,9.6,13453.35,56.28763,27.240772,9.0,5.0,0.3544985200407796,15.5,1,1,0.1712931441814776,0.9852201067560606,0.01745240643728351,0.9998476951563913
